Time,ClusterID,Upstream,LaneLength,Downstream,UpstreamJamLength,UpstreamMeanSpeed,DownstreamJamLength,DownstreamMeanSpeed,TLS,Status
21601,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
21602,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
21603,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
21604,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
21605,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
21606,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
21607,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
21608,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
21609,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
21610,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
21611,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
21612,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
21613,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
21614,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
21615,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
21616,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
21617,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
21618,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
21619,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
21620,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
21621,cluster_83_84,L133.25,118.71000000000001,L10130,0,0.0,0,0.0,r,0
